Model,Accuracy
BernNet,92.45687401986409
ChebNetII,92.13981010045413
SSGC,91.92376496490988
GPRGNN,91.49580294481903
ChebNet,89.23627356543277
GNN-LF,86.40979771570112
GCN,85.01995321315536
APPNP,84.46126324480528
GNN-HF,84.01954038805559
MLP,79.48672079262418
SGC,25.36397412962709
