Model,Accuracy
BernNet,85.98372781065089
GNN-HF,80.43579766536965
GPRGNN,79.83657587548637
SSGC,79.74708171206225
APPNP,79.65758754863812
GNN-LF,78.74708171206225
GCN,76.84824902723734
ChebNetII,75.77042801556419
ChebNet,71.9105058365759
SGC,55.6420233463035
MLP,50.6459143968871
