Model,Accuracy
GCN,88.51273654821935
APPNP,87.23648751269428
SGC,83.71549280376124
GNN-LF,85.10736294581263
MLP,78.32987645129047
BernNet,83.92478105673291
ChebNetII,83.50236478921543
SSGC,81.82365417894526
GPRGNN,82.41578923467128
ChebNet,86.32789456123847
GNN-HF,72.61547892345612
