Model,Accuracy
GCN,39.76443418013857
ChebNet,38.609699769053115
GNN-LF,34.2309468822171
GPRGNN,33.97228637413395
APPNP,33.108545034642034
SSGC,32.70207852193995
GNN-HF,32.1662817551963
MLP,28.443418013856807
SGC,25.60277136258661
BernNet,24.600461893764436
ChebNetII,24.56812933025404
